,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Job requires Tertiary qualification,Job Does not require a Tertiary qualification,% holding Job requiring Tertiary,% holding job not requiring Tertiary,Born in Australia,Born outside of Australia,Percent born in Aus,Percent born outside of Aus
143,Hallam,17567,758.0,2081.0,3182.0,2729.0,2096.0,1659.0,2842.0,36.85847589424572,63.14152410575428,4587.0,6265.0,42.26870622926649,57.73129377073351
144,Hampton,17737,707.0,3020.0,2460.0,4380.0,2825.0,4091.0,2284.0,64.17254901960784,35.82745098039216,9105.0,4286.0,67.99342842207453,32.00657157792548
145,Hampton East,17757,335.0,786.0,1203.0,1386.0,983.0,1255.0,971.0,56.37915543575921,43.62084456424079,3020.0,1669.0,64.40605672851353,35.59394327148645
146,Hampton Park,17807,2014.0,5675.0,7814.0,6724.0,3301.0,3413.0,7195.0,32.1738310708899,67.82616892911011,10637.0,14893.0,41.66470818644732,58.33529181355268
147,Hawthorn,18087,1023.0,3450.0,10593.0,4892.0,3551.0,8159.0,4751.0,63.1990704879938,36.8009295120062,14239.0,9272.0,60.56314065756454,39.436859342435454
148,Hawthorn East,18117,776.0,2282.0,5413.0,3312.0,2547.0,4962.0,2682.0,64.91365777080063,35.086342229199374,9100.0,5221.0,63.54304866978563,36.45695133021437
149,Healesville,18247,444.0,1341.0,1474.0,2140.0,2060.0,1594.0,1691.0,48.523592085235926,51.476407914764074,5776.0,1685.0,77.4158959924943,22.584104007505694
150,Heathmont,18347,695.0,1816.0,2363.0,2693.0,2118.0,2686.0,2143.0,55.62228204597225,44.37771795402775,7292.0,2396.0,75.26837324525187,24.73162675474814
151,Heidelberg,18387,464.0,939.0,1983.0,1536.0,1306.0,1969.0,1141.0,63.31189710610933,36.68810289389067,4161.0,2064.0,66.8433734939759,33.1566265060241
152,Heidelberg Heights,18397,419.0,861.0,2106.0,1555.0,1122.0,1602.0,1344.0,54.378818737270876,45.621181262729124,3859.0,2228.0,63.39740430425497,36.60259569574503
